ano,rodada,timeId,pontos,vitorias,empates,derrotas,gm,gc,sg,pf,pnr,%
2012,18,289,19,4,7,7,19,24,-5,17,18,35.18518518518518
2012,18,1071,15,4,3,11,18,33,-15,18,18,27.77777777777778
2012,18,11,30,8,6,4,32,18,14,4,1,55.55555555555556
2012,18,631,33,9,6,3,38,19,19,3,10,61.111111111111114
2012,18,405,18,4,6,8,15,32,-17,15,11,33.333333333333336
2012,18,281,39,11,6,1,34,15,19,2,2,72.22222222222223
2012,18,1032,9,1,6,11,21,37,-16,19,20,16.666666666666668
2012,18,31,25,6,7,5,27,23,4,7,5,46.2962962962963
2012,18,931,20,5,5,8,28,33,-5,12,8,37.03703703703704
2012,18,379,23,6,5,7,22,22,0,10,17,42.592592592592595
2012,18,29,30,7,9,2,30,22,8,6,16,55.55555555555556
2012,18,762,20,5,5,8,20,26,-6,16,3,37.03703703703704
2012,18,1039,10,1,7,10,15,31,-16,20,16,18.51851851851852
2012,18,2288,24,6,6,6,27,23,4,9,20,44.44444444444444
2012,18,985,43,14,1,3,44,25,19,1,4,79.62962962962963
2012,18,148,30,9,3,6,30,25,5,5,7,55.55555555555556
2012,18,512,25,5,10,3,15,13,2,13,17,46.2962962962963
2012,19,985,46,15,1,3,48,28,20,1,4,80.70175438596492
2012,19,762,20,5,5,9,23,30,-7,16,3,35.08771929824562
2012,19,289,22,5,7,7,20,24,-4,17,18,38.59649122807018
2012,19,281,39,11,6,2,34,16,18,2,2,68.42105263157895
2012,19,405,18,4,6,9,15,36,-21,15,11,31.57894736842105
2012,19,148,33,10,3,6,34,25,9,5,5,57.89473684210526
2012,19,931,21,5,6,8,29,34,-5,12,8,36.8421052631579
2012,19,180,17,4,5,10,25,36,-11,14,20,29.82456140350877
2012,19,29,33,8,9,2,32,23,9,6,18,57.89473684210526
2012,19,1071,15,4,3,12,19,35,-16,18,18,26.31578947368421
2012,19,1123,25,6,7,6,20,28,-8,11,20,43.85964912280702
2012,19,631,36,10,6,3,39,19,20,3,10,63.1578947368421
2012,19,1032,10,1,7,11,21,37,-16,19,19,17.54385964912281
2012,19,2288,25,6,7,6,27,23,4,9,20,43.85964912280702
2012,19,1039,10,1,7,11,16,33,-17,20,15,17.54385964912281
2012,19,984,33,10,3,6,28,23,5,8,19,57.89473684210526
2012,19,11,33,9,6,4,37,19,18,4,1,57.89473684210526
2012,19,379,23,6,5,8,23,27,-4,10,17,40.35087719298246
2012,19,512,28,6,10,3,18,14,4,13,14,49.12280701754386
2012,19,31,25,6,7,6,28,26,2,7,7,43.85964912280702
2012,20,405,18,4,6,10,15,39,-24,15,11,30.0
2012,20,1071,18,5,3,12,22,35,-13,18,17,30.0
2012,20,985,49,16,1,3,50,28,22,1,4,81.66666666666667
2012,20,984,33,10,3,7,28,25,3,8,19,55.0
2012,20,29,33,8,9,3,33,25,8,6,19,55.0
2012,20,631,39,11,6,3,41,20,21,3,10,65.0
2012,20,1039,10,1,7,12,16,36,-20,20,16,16.666666666666668
2012,20,31,28,7,7,6,31,26,5,7,7,46.666666666666664
2012,20,11,36,10,6,4,44,22,22,4,1,60.0
2012,20,762,20,5,5,10,26,37,-11,16,3,33.333333333333336
2012,20,1032,13,2,7,11,22,37,-15,19,19,21.666666666666668
2012,20,379,23,6,5,9,23,28,-5,10,18,38.333333333333336
2012,20,1123,25,6,7,7,23,32,-9,11,20,41.666666666666664
2012,20,281,42,12,6,2,38,19,19,2,2,70.0
2012,20,931,21,5,6,9,30,36,-6,12,9,35.0
2012,20,2288,28,7,7,6,29,24,5,9,20,46.666666666666664
2012,20,289,22,5,7,8,21,26,-5,17,18,36.666666666666664
2012,20,148,36,11,3,6,36,26,10,5,6,60.0
2012,20,512,29,6,11,3,21,17,4,13,13,48.333333333333336
2012,20,180,18,4,6,10,28,39,-11,14,20,30.0
2012,21,984,33,10,3,8,29,27,2,8,19,52.38095238095238
2012,21,931,24,6,6,9,32,37,-5,12,9,38.095238095238095
2012,21,762,20,5,5,11,27,39,-12,16,3,31.746031746031747
2012,21,29,36,9,9,3,35,26,9,6,19,57.142857142857146
2012,21,631,39,11,6,4,41,21,20,3,11,61.904761904761905
2012,21,1039,13,2,7,12,17,36,-19,20,19,20.634920634920636
2012,21,1071,18,5,3,13,22,39,-17,18,18,28.571428571428573
2012,21,985,52,17,1,3,54,28,26,1,4,82.53968253968254
2012,21,2288,29,7,8,6,31,26,5,9,20,46.03174603174603
2012,21,405,19,4,7,10,17,41,-24,15,10,30.158730158730158
2012,21,31,31,8,7,6,34,26,8,7,7,49.20634920634921
2012,21,289,22,5,7,9,21,29,-8,17,19,34.92063492063492
2012,21,379,26,7,5,9,25,29,-4,10,16,41.26984126984127
2012,21,1123,25,6,7,8,24,34,-10,11,20,39.682539682539684
2012,21,180,19,4,7,10,29,40,-11,14,20,30.158730158730158
2012,21,11,37,10,7,4,45,23,22,4,1,58.73015873015873
2012,21,148,39,12,3,6,39,27,12,5,6,61.904761904761905
2012,21,1032,13,2,7,12,23,40,-17,19,19,20.634920634920636
2012,21,281,45,13,6,2,41,19,22,2,2,71.42857142857143
